name,nickname,distribution,origin,size,function,groups,height,weight,life_age,price
卡迪根威尔士柯基犬,卡狄根柯基犬、卡地甘威尔...,英国、美国,英国,小型犬,牧羊犬,牧羊犬,27-32厘米,11-17公斤,12-15年,2.2万元以上
吉娃娃,迷你狗、茶杯犬、芝娃娃、...,美国、欧洲、亚洲,墨西哥,小型犬,"伴侣犬,玩具犬",玩赏犬,15-23厘米,1-3公斤,13-14年,500-5000
金毛,金毛寻回猎犬、黄金猎犬,英国,英国,大型犬,"伴侣犬,家庭犬,缉毒犬,导盲犬",家庭伴侣犬，工作犬,55-61厘米,27-34公斤,10-12年,200-4000
京巴犬,宫廷狮子狗、北京犬,中国,中国,小型犬,"伴侣犬,玩具犬",家庭犬,15-23cm,3-6kg,12-13年,1000-3500
库达犬,巴基斯坦库达犬,巴基斯坦,巴基斯坦,大型犬,"狩猎犬,工作犬,护卫犬",狩猎犬，工作犬,76-91厘米,55-60公斤,10-15年,3000-10000
捷克狼犬,捷克狼犬,捷克,捷克斯洛伐克威勒科犬,大型犬,牧羊犬,牧羊犬，工作犬,60－75厘米,20-35公斤,12-16年,7000-20000
可蒙犬,拖把犬，克蒙多犬,欧洲、北美,匈牙利,大型犬,"工作犬,护卫犬",工作犬,65.7~69.5cm,36~45kg,10-12年,3000起
卡南犬,卡南犬,以色列,以色列,大型犬,牧羊犬,牧羊犬，工作犬,50-60厘米,18-25公斤,12-15年,3000左右
捷克梗,波希米亚梗,捷克和斯洛伐克,捷克和斯洛伐克,,,梗犬,25-36厘米,5.5-8公斤,12-15年,2000-12000
卷毛比雄犬,特内里费狗，又称维•弗里...,法国,法国,小型犬,"伴侣犬,家庭犬",伴侣犬,23-30厘米,3-6公斤,14-15年,500-2500
蝴蝶犬,蝶耳犬、巴比伦犬,法国,法国,小型犬,"伴侣犬,玩具犬",玩赏犬,20-28厘米,3-5公斤,13-14年,500-1000
卷毛寻回犬,"卷毛巡回犬,卷毛寻回猎犬",英国,英国,大型犬,枪猎犬,工作犬,65-69厘米,30-35公斤,8-12年,1000-3000
杰克罗素梗,杰克罗塞尔梗、杰克拉西尔...,英国,英国南部,小型犬,梗类犬,梗犬,25-26厘米,4-7公斤,12-14年,6000-8000
黑熊犬,格罗安达犬和冀中黑熊犬,中国,中国河北,大型犬,牧羊犬,工作犬,58-72厘米,40-45公斤,12-15年,3000-5000
加纳利犬,加纳利犬,加那利群岛,加那利群岛,中型犬,"家庭犬,护卫犬",家庭犬,55-65cm,38-48kg,9-11年,3000-10000
红狼犬,湘西五陵山脉狼犬 雪峰山脉...,中国,中国湖南湘西,中型犬,"伴侣犬,工作犬",工作犬,53-65厘米,20-35公斤,,800-2000
红骨猎浣熊犬,红骨猎浣熊犬,美国,美国,大型犬,狩猎犬,狩猎犬，工作犬,53～66cm,20～32kg,11-12年,500起
哈士奇,西伯利亚雪橇犬,俄罗斯,俄罗斯西伯利亚地区,中型犬,家庭犬,工作犬,51-60厘米,16-27公斤,12-15 years,500-5500
黑褐猎浣熊犬,美国黑褐色猎浣熊犬、赶上...,美国,美国,大型犬,工作犬,工作犬,63.5-68.5cm,25-35kg,10-12 years,1500-8000
惠比特犬,威比特犬，惠比特，鞭犬，...,英国,英国,中型犬,狩猎犬,工作犬,43-51厘米,12-13公斤,13-14年,3000左右
黑俄罗斯梗,黑梗、黑俄罗斯爹利、俄罗...,俄罗斯,俄罗斯,大型犬,工作犬,工作犬,63-75cm,40-65kg,10-11years,3500-30000
湖畔梗,佩特戴尔梗,英国,英国,小型犬,梗类犬,梗犬,33-38厘米,7-8公斤,10-12年,1000-3000
格力犬,灰狗,中东地区，澳洲,中东地区,大型犬,狩猎犬,工作犬，狩猎犬,60-76cm,29-35kg,10-12 years,2000以上
黑狼犬,中华黑狼犬、纯种黑狼犬、...,主要集中在中国北方,中国北方,大型犬,"工作犬,护卫犬",护卫犬，工作犬,65-75cm,40-65kg,10-14年,3000-5000
英国古代牧羊犬,古牧，截尾犬,英国,英国,大型犬,"伴侣犬,牧羊犬",牧羊犬，工作犬,53-56cm,26-38kg,10-12years,1800~3000
荷兰毛狮犬,荷兰的船犬、胖博美,荷兰,荷兰,中型犬,玩具犬,玩具犬,43-46cm,25-30kg,10-12 years,1000-10000
哈瓦那犬,哈瓦那比雄犬,古巴,古巴,小型犬,玩具犬,玩赏犬,20-28cm,3-6kg,14years,1000-8000
高加索犬,俄罗斯熊犬,俄罗斯,俄罗斯高加索共和国,大型犬,"牧羊犬,军犬",牧羊犬，工作犬,64-72cm,45-70kg,9－11年,10000左右
法国狼犬,"法国短毛牧羊犬,Beauce牧羊...",法国,法国,大型犬,"牧羊犬,工作犬",牧羊犬，工作犬,64-71厘米,30-39公斤,10-12年,1000-5000
芬兰猎犬,"芬兰狐狸犬,芬兰狐犬",芬兰,芬兰,中型犬,家庭犬,家庭犬,44-50厘米,23-27公斤,12-14年,800-3000元
法国斗牛犬,法斗,法国,法国,中型犬,"伴侣犬,家庭犬",家庭伴侣犬,30-31厘米,10-13公斤,11-12年,3000起
芬兰拉普猎犬,拉品可亚犬、拉普兰得犬,挪威、瑞典和芬兰的北部,芬兰,中型犬,牧羊犬,牧羊犬,46-52厘米,20-21公斤,11-12年,1000-10000
法老王猎犬,科博特菲勒犬，猎兔犬,埃及,埃及,大型犬,狩猎犬,狩猎犬，工作犬,53-64厘米,20-25公斤,12-14年,50000起
斗牛犬,老虎狗、牛头犬、英国斗牛...,英国,大不列颠群岛,中型犬,玩具犬,玩具犬,51-64cm,29-48kg,7-9 years,1000-10000
大麦町犬（斑点狗）,斑点狗,英法,南斯拉夫,中型犬,家庭犬,家庭伴侣犬,50-61cm,23-25kg,11-12 years,800-3000
刚毛猎狐梗,刚毛猎狐梗,世界很多地方都有饲养,英国,小型犬,梗类犬,梗犬,38-39cm,7-8kg,15年及以上,2200左右
斗牛梗,斗兽场斗牛梗，美国斗牛犬,英国,英国,中型犬,梗类犬,梗犬,53-56cm,24-28kg,11-12 years,1000-5000
杜宾犬,多伯曼犬,德国,德国,大型犬,,狩猎犬，工作犬,66-71cm,30-40公斤,10-14 years,400-9000
大丹犬,德国犬或德国獒犬，或是丹...,德国,德国,大型犬,"工作犬,军犬",工作犬，护卫犬,71-76厘米,46-54公斤,8-10 years,1500-9000
可卡犬,猎鹬犬,英国和美国,英国和美国,中型犬,"伴侣犬,家庭犬",家庭犬,38-41厘米,10-13千克,12-15年,800-9000
东非猎犬,阿拉伯猎犬、猎羚犬、瞪羚...,埃及,埃及,"中型犬,大型犬",狩猎犬,工作犬,58-71厘米,20-25公斤,10-12年,3000起
德国短毛波音达,德国短毛波音达猎犬等,德国,德国,大型犬,枪猎犬,枪猎犬,60-65cm,27-32kg,12-13 years,3000左右
大瑞士山地犬,格若瑟思古则塞那德犬,瑞士,瑞士,,,工作犬,65~72厘米,59-61公斤,10-11年,1000-3000
大白熊犬,比利牛斯山地犬,法国,法国,大型犬,工作犬,工作犬，护卫犬,65-81cm,45-60kg,9-12 years,1500起
短脚长身梗,矮脚狄文梗,英国,英国,小型犬,梗类犬,梗犬,20-27cm,8-10kg,10-14 years,1000-5000
德国硬毛波音达,德国刚毛指示犬、德国刚毛...,德国,德国,中型犬,枪猎犬,枪猎犬,56-67厘米,27-32公斤,15-17年,3500
东德牧羊犬,捷克深狼青,德国,前“民主德国”（即东德）与前“捷克斯洛伐克共和国” 边境,大型犬,工作犬,工作犬,55-65cm,22-40kg,12-16年,3000-5000
比熊犬,特内里费狗，巴比熊犬，比...,地中海地区,地中海地区,小型犬,玩具犬,伴侣犬，家庭犬,24-29cm,3-7kg,12-15岁,3000以上
波尔多犬,法国獒犬、波尔多牛头犬,法国,法国波尔多地区,大型犬,工作犬,工作犬,58-69cm,45-50kg,9-11年,5000-20000
巴仙吉犬,刚果犬，吠叫犬,非洲,非洲中部地区,中型犬,工作犬,工作犬,40-43cm,9.5-11kg,10-12years,1000-3000
巴西非勒犬,Fila Brasileiro,巴西,巴西,大型犬,"伴侣犬,家庭犬",家庭伴侣犬,61－76厘米,41－50千克,9－11年,3000-10000
